cpc_id;query;variant;qid;label;description;aliases;lang
B08997;Giuseppe Berti;no;Q87182838;Giuseppe Bertini;Tuscan physician and historian (1772-1845);[];it
B08997;Giuseppe Berti;no;Q137834838;Giuseppe Bertinazzo;Italian tenor;[];it
B08997;Giuseppe Berti;no;Q86827235;Giuseppe Berti Calura;;[];it
B08997;Giuseppe Berti;no;Q55225587;Giuseppe Bertinatti;;[];it
B08997;Giuseppe Berti;no;Q114560141;Giuseppe Bertini;;[];it
B08997;Giuseppe Berti;no;Q132860321;Giuseppe Bertini;;[];it
B08997;Giuseppe Berti;no;Q132852231;Giuseppe Bertini;Italian painter (1797-1861);[];it
B08997;Giuseppe Berti;no;Q132860111;Giuseppe Bertini;Italian historian and priest (born 1941);[];it
B08997;Giuseppe Berti;no;Q3770107;Giuseppe Bertini;Wikimedia disambiguation page;[];it
C13222;Pio Coli;no;Q9065048;Pío Collivadino;Argentine artist (1869-1945);['Pio Colivadino'];it
K00689;Antonio Kosich;no;;;;;
C03621;Luigi Caprara;no;;;;;
F05136;Gioacchino Paolo Vincenzo Ciro Fiorillo;no;;;;;
F05136;Gioacchino Fiorillo;yes;;;;;
F05136;Paolo Fiorillo;yes;;;;;
F05136;Vincenzo Fiorillo;yes;Q930346;Vincenzo Fiorillo;Italian footballer;[];it
F05136;Ciro Fiorillo;yes;Q125305226;Ciro Fiorillo;"Italian author; active in Naples";[];it
P13499;Angelo Puddu;no;;;;;
A00296;Massimo Acerbo;no;;;;;
J00271;Agapito Job;no;;;;;
F00787;M Faia;no;;;;;
R00065;Ludovico Racalbuto;no;;;;;
R02466;Francesco Repetto;no;Q3750533;Francesco Repetto;Italian priest;[];it
B01085;Liborio Baldanza;no;;;;;
R03818;Stefano Riolo;no;Q103340693;Stefano Riolo;Italian mathematician;[];it
P08689;Nicola Piesco;no;;;;;
D01921;Augusto De Angelis;no;Q3629611;Augusto De Angelis;writer and journalist (1888-1944);[];it
D00234;Fedele D'Amico;no;Q3740833;Fedele D'Amico;Italian musicologist (1912–1990);[];it
B03444;Cesare Barlazzi;no;;;;;
P01800;Giov Battista Panizzi;no;;;;;
P01800;Giov Panizzi;yes;;;;;
P01800;Battista Panizzi;yes;;;;;
G01726;Efrem Ganassi;no;;;;;
M15249;Luigi Mori;no;Q102459841;Luigi Morino;;[];it
M15249;Luigi Mori;no;Q41617194;Luigi Moriani;(1845-1921);[];it
D03422;Antonio De Rosa;no;Q102678825;Antonio De Rosa;Ph.D. Universität Zürich 2017;[];it
D03422;Antonio De Rosa;no;Q139192015;Antonio De Rosa;;[];it
D03422;Antonio De Rosa;no;Q134312869;Antonio De Rosa;"Entrepreneur; Designer; and Founder & CEO of ADR Studio Management";[];it
D03422;Antonio De Rosa;no;Q3968179;Stanis Ruinas;Italian journalist and writer (1899–1984);['Antonio De Rosas'];it
M13540;Gilberto Moni;no;;;;;
D04551;Francesco Del Sarto;yes;Q790243;Ferenc Baranyi;writer;['Francesco del Sarto'];it
C16799;Gaspare Crescimanno;no;;;;;
C02968;Pierino Capellaro;no;;;;;
N02215;Ercole Cesare Egisto Novarini;no;;;;;
N02215;Ercole Novarini;yes;;;;;
N02215;Cesare Novarini;yes;;;;;
N02215;Egisto Novarini;yes;;;;;
P00686;Giuseppe Pagliarini;no;Q3771129;Giuseppe Pagliarini;Italian actor;[];it
M12760;Cesare Modi;no;;;;;
P00915;Raffaello Paladini;no;;;;;
B13141;Carlo Luigi Bollini;no;;;;;
B13141;Carlo Bollini;yes;;;;;
B13141;Luigi Bollini;yes;;;;;
L02031;Pietro Pio Lenatti;no;;;;;
L02031;Pietro Lenatti;yes;;;;;
L02031;Pio Lenatti;yes;;;;;
C13908;Luigi Cometto;no;;;;;
M09941;Giuseppe Menia;no;;;;;
B07054;Ottavio Bendinelli;no;;;;;
M13681;Francesco Montagutti;no;;;;;
F06881;Vincenzo Francati;no;;;;;
C12665;Attilio Cocchi;no;;;;;
F08372;Michele Fucinari;no;;;;;
C06902;Giulio Castelnuovo;no;;;;;
Z00657;Giuseppe Antonio Zanardi;no;;;;;
Z00657;Giuseppe Zanardi;yes;;;;;
Z00657;Antonio Zanardi;yes;Q3620333;Antonio Zanardi Landi;Italian diplomat (born 1950);[];it
M12320;Nicolo Francesco Mirabella;no;;;;;
M12320;Nicolo Mirabella;yes;;;;;
M12320;Francesco Mirabella;yes;Q58461313;Francesco Mirabella;researcher ORCID ID = 0000-0002-7448-5181;[];it
M11602;Milano;no;Q490;Milan;Italian commune and capital city of Lombardy;['Milano'];it
M11602;Milano;no;Q18288155;Metropolitan City of Milan;metropolitan city in Italy;['Milano'];it
M11602;Milano;no;Q21431156;Milano;family name;[];it
M11602;Milano;no;Q982385;Milano;"city in Milam County; Texas; United States";[];it
M11602;Milano;no;Q11781167;Milano;Polish music group;[];it
M11602;Milano;no;Q18493108;Milano;"human settlement in Province of Perugia; Umbria; Italy";[];it
M11602;Milano;no;Q18468453;"Milano; Berbenno";human settlement in Italy;['Milano'];it
M11602;Milano;no;Q61475940;Milano;Defunct newspaper published in Milano;[];it
M11602;Milano;no;Q109815873;Max Millan;Italian DJ and producer;['Milano'];it
M11602;Milano;no;Q3857788;Milano;2008 single by Alex Britti;[];it
M11602;Milano;no;Q21282839;Milano;1985 studio album by Brigantony;[];it
M11602;Milano;no;Q90566258;Milano;2020 single by Irama;[];it
M11602;Milano;no;Q21521486;V.A. Milano;botanist;['Milano'];it
M11602;Milano;no;Q110073635;Milano;;[];it
M11602;Milano;no;Q7197307;Piper Orchard;"fruit orchard containing primarily heirloom apple trees; located within Seattle Washington's Carkeek Park";['Milano'];it
M11602;Milano;no;Q123759379;Milano;"2023 single by Bia; Sfera Ebbasta and Fivio Foreign";[];it
M11602;Milano;no;Q124386283;Milano;steamboat;[];it
M11602;Milano;no;Q136086637;Milano;2025 single by Naska;[];it
M11602;Milano;no;Q27131656;Milano;2016 single by Luca Carboni;[];it
M11602;Milano;no;Q422283;Milanówek;city and urban gmina of Poland;[];it
M11066;Serafino Michelini;no;;;;;
M09619;Giovanni Menara;no;;;;;
C11834;Giuseppe Ciocci;no;Q67195578;Giuseppe Ciocci;Italian footballer;[];it
N02447;Tommaso Nuvoli;no;;;;;
R04535;Giovanni Rocchi;no;;;;;
L02060;Carmine Lenti;no;;;;;
V02923;Carlo Vespignani;no;;;;;
G11326;Mauro Gusmai;no;;;;;
P08053;Roberto Piccini;no;Q102410177;Roberto Piccinin;Ph.D. University of Minnesota-Minneapolis 2010;[];it
M03527;Giuseppe Marasciulo;no;;;;;
P04788;Ennio Pedroni;no;;;;;
M05770;G Marson;no;;;;;
M05788;Gaetano Marta;no;;;;;
F08082;Saverio Friggeri;no;;;;;
C10611;Francesco Vincenzo Chiolini;no;;;;;
C10611;Francesco Chiolini;yes;;;;;
C10611;Vincenzo Chiolini;yes;;;;;
R01880;Andrea Rebuffoni;no;;;;;
M07359;Virgilio Massimo;no;;;;;
D02173;Germano De Camillis;yes;;;;;
B09888;Luigi Betta;no;Q454498;Luigi Bettazzi;Roman Catholic Bishop (1923–2023);[];it
B09888;Luigi Betta;no;Q3839336;Luigi Bettarini;Italian architect;[];it
C02574;Pilade Canovai;no;;;;;
C03168;Giovanni Capodivacca;no;Q41231402;Giovanni Capodivacca;Italian journalist and playwright (1884-1934);[];it
P11025;Angelo Poli;no;Q250414;Agnolo Poliziano;Italian classical scholar and poet (1454-1494);['Angelo Poliziano'];it
P11025;Angelo Poli;no;Q63847894;"Angelo Poliziano; 1454-1494; Humanist [obverse]";sculpture in the National Gallery of Art (NGA 44832);"['Angelo Poliziano; 1454-1494; Humanist [scultura]']";it
P11025;Angelo Poli;no;Q12784683;Angelo Policardi;Italian general;[];it
P11025;Angelo Poli;no;Q90438020;Angelo Polito;researcher (ORCID 0000-0003-4686-726X);[];it
P11025;Angelo Poli;no;Q52942306;Angelo Poliziano;"middle school in Rome; Rome; Lazio; Italy";[];it
P11025;Angelo Poli;no;Q133317114;Angelo Poliseno;;[];it
P11025;Angelo Poli;no;Q133610772;Angelo Polimeno;;[];it
P11025;Angelo Poli;no;Q21395448;Angelo Poliseno;German cnidariologist;[];it
P11025;Angelo Poli;no;Q118876085;Angelo Poliziano (1454–1494);"painting by Northern Italian School; Walker Art Gallery";[];it
P11025;Angelo Poli;no;Q140008805;Angelo Polizel Emeif;"school in Glicério; São Paulo; Brazil";[];it
P11025;Angelo Poli;no;Q128178341;Angelo Poliziano and the graphetai Symbol in His Notes on Catullus;scholarly article;[];it
P11025;Angelo Poli;no;Q127765765;Angelo Poliziano’s Preface to the Miscellaneorum Centuria Prima;scholarly article;[];it
B14072;Antonio Bongiovanni;no;Q21543493;Antonio Bongiovanni;Italian librarian and classical scholar (1712-1762);[];it
M04099;Adelmo Marchini;no;;;;;
M02321;Ubaldo Mancini;no;;;;;
B00833;Guido Baila;no;;;;;
P06782;Primo Pesci;no;;;;;
R07006;Battista Rota;no;Q3636791;Battista Rota;Italian association football manager and association football player (1932-2018);[];it
