cpc;qid;nom1;nom2;nac1;nac2;sex1;sex2;pais1;pais2;ciudad1;ciudad2;oficio1;oficio2;padre1;padre2;afil1;afil2;num_ent;alias;eval_birth;eval_name;eval_sex;eval_country;eval_city;eval_father;eval_occupation;eval_affiliation;eval_city2
A00997;Q66317695;Giovanni Ala;Giovanni Alabiso;1883;0;m;m;Italia;Stati Uniti d'America;San Giorio;Woburn;operaio;attore;Vittorio;;antifascista;attore statunitense;7;;-1;-1;1;-1;-1;0;-1;0;0.4
A00997;Q96245221;Giovanni Ala;Giovanni Alasco;1883;0;m;m;Italia;;San Giorio;;operaio;;Vittorio;;antifascista;;7;;-1;-1;1;0;0;0;0;0;0.0
A01054;Q139122265;Girolamo Albanese;Q139122265;1864;1580;m;m;Italia;;Cittanova;;scrivano ex;architetto|scultore;Francesco;;socialista;;5;;-1;-1;1;0;0;0;-1;0;0.0
A01054;Q16487697;Girolamo Albanese;Girolamo Albanese;1864;1584;m;m;Italia;Repubblica di Venezia;Cittanova;Vicenza;scrivano ex;architetto;Francesco;;socialista;scultore e architetto italiano;5;;-1;1;1;-1;-1;0;-1;0;0.36363636363636365
A01054;Q23851295;Vincenzo Albanese;Vincenzo Albanese;1864;1996;m;m;Italia;Italia;Cittanova;Oliveto Citra;scrivano ex;ciclista;Francesco;;socialista;ciclista su strada italiano;5;;-1;1;1;1;-1;0;-1;0;0.5714285714285714
A01086;Q869358;Luigi Albani;Luigi Albani;1899;1928;m;m;Italia;Italia;Bergamo;Roma;fruttivendolo|pollivendolo;calciatore;Luigi;;anarchico;calciatore italiano;1;;-1;1;1;1;-1;0;-1;0;0.4
A01214;Q3779149;Guido Albertelli;Guido Albertelli;1867;1867;m;m;Italia;Regno d'Italia;Parma;Parma;ingegnere;ingegnere|ingegnere strutturista|politico;Macedonio;;socialista;ingegnere, progettista e politico italiano;1;;1;1;1;1;1;0;1;0;1.0
A01286;Q101123803;Alberto Albertini;Alberto Albertini;1892;0;m;;Italia;;Sassoferrato;;bracciante;ricercatore;Giovanni;;antifascista;researcher ORCID 0000-0001-5374-4298;9;;-1;1;0;0;0;0;-1;0;0.0
A01286;Q111366908;Alberto Albertini;Alberto Albertini;1892;1905;m;m;Italia;Italia|Regno d'Italia;Sassoferrato;Roma;bracciante;storico;Giovanni;;antifascista;storico italiano (1905-1995);9;;-1;1;1;1;-1;0;-1;0;0.4
A01286;Q1123294;Alberto Albertini;Alberto Albertini;1892;1879;m;m;Italia;Italia|Regno d'Italia;Sassoferrato;Ancona;bracciante;giornalista;Giovanni;;antifascista;giornalista italiano (1879-1954);9;;-1;1;1;1;-1;0;-1;0;0.33333333333333337
A01286;Q112470934;Alberto Albertini;Alberto Albertini;1892;1939;m;m;Italia;;Sassoferrato;;bracciante;biochimico;Giovanni;;antifascista;biochimico italiano;9;;-1;1;1;0;0;0;-1;0;0.0
A01286;Q132852448;Alberto Albertini;Q132852448;1892;1907;m;;Italia;;Sassoferrato;;bracciante;;Giovanni;;antifascista;;9;;-1;-1;0;0;0;0;0;0;0.0
A01286;Q56850412;Alberto Albertini;Alberto Albertini;1892;0;m;m;Italia;;Sassoferrato;;bracciante;ricercatore;Giovanni;;antifascista;researcher (ORCID 0000-0002-7989-649X);9;;-1;1;1;0;0;0;-1;0;0.0
A01286;Q61470098;Alberto Albertini;Alberto Albertini;1892;1801;m;m;Italia;;Sassoferrato;;bracciante;scrittore;Giovanni;;antifascista;scrittore (1801-2000);9;;-1;1;1;0;0;0;-1;0;0.0
A01286;Q869820;Alberto Albertini;Alberto Albertini;1892;1907;m;m;Italia;Italia|Regno d'Italia;Sassoferrato;Villafranca di Verona;bracciante;calciatore;Giovanni;;antifascista;calciatore italiano (1907-1998);9;;-1;1;1;1;-1;0;-1;0;0.4
A01329;Q102391359;Giovanni Alberto;Giovanni A. Maitreya Orlando;1871;0;m;m;Italia;;Salussola;;muratore;;Stefano;;sovversivo;Dottore 1992;20;Giovanni Alberto Maitreya Orlando;-1;-1;1;0;0;0;0;0;0.0
A01329;Q134294504;Giovanni Alberto;Giovanni Alberto Chaves-Portilla;1871;0;m;;Italia;;Salussola;;muratore;erpetologo;Stefano;;sovversivo;;20;;-1;1;0;0;0;0;-1;0;0.0
A01329;Q174633;Giovanni Alberto;Giovanni Alberto Ristori;1871;1692;m;m;Italia;Stato Pontificio;Salussola;Bologna;muratore;compositore|direttore d'orchestra|musicista|organista;Stefano;;sovversivo;compositore e organista italiano;20;;-1;1;1;-1;-1;0;-1;0;0.6
A01329;Q19357553;Giovanni Alberto;Giovanni Albertocchi;1871;1946;m;m;Italia;;Salussola;;muratore;critico letterario;Stefano;;sovversivo;critico letterario italiano;20;;-1;-1;1;0;0;0;-1;0;0.0
A01329;Q20002543;Giovanni Alberto;Giovanni Alberto Lorandi;1871;0;m;m;Italia;;Salussola;Brescia;muratore;compositore;Stefano;;sovversivo;;20;;-1;1;1;0;-1;0;-1;0;0.36363636363636365
A01329;Q3106984;Giovanni Alberto;Giovanni Alberto Agnelli;1871;1964;m;m;Italia;Italia;Salussola;Milano;muratore;imprenditore;Stefano;Umberto;sovversivo;imprenditore e dirigente d'azienda italiano;20;;-1;1;1;1;-1;-1;-1;0;0.5
A01329;Q359466;Giovanni Alberto;Giovanni Alberto Badoer;1871;1649;m;m;Italia;Repubblica di Venezia;Salussola;Venezia;muratore;sacerdote cattolico|vescovo cattolico;Stefano;;sovversivo;cardinale e patriarca cattolico italiano;20;;-1;1;1;-1;-1;0;-1;0;0.25
A01329;Q3608142;Giovanni Alberto;Alberto Bechi Luserna;1871;1904;m;m;Italia;Regno d'Italia;Salussola;Spoleto;muratore;scrittore|ufficiale;Stefano;;sovversivo;ufficiale e scrittore italiano;20;Giovanni Alberto Bechi Luserna;-1;-1;1;1;-1;0;-1;0;0.4285714285714286
A01329;Q3766365;Giovanni Alberto;Giovanni Albertoni;1871;1806;m;m;Italia;Regno d'Italia;Salussola;Varallo;muratore;artista|scultore;Stefano;;sovversivo;scultore italiano;20;;-1;-1;1;1;-1;0;-1;0;0.4285714285714286
